address,data_source,property_status,sale_amount,sale_date,multi_lot_sale,land_area
"60 MARINE PDE, COTTESLOE",RES,Non Strata,5470000,2021-02-19,N,582
"7 HAWKSTONE ST, COTTESLOE",RES,Non Strata,5400000,2022-01-16,N,591
"7 BEACH ST, COTTESLOE",RES,Non Strata,5395000,2021-10-03,N,774
"68 BROOME ST, COTTESLOE",RES,Strata,5350000,2020-09-05,N,787
"6 GIBNEY ST, COTTESLOE",RES,Non Strata,5250000,2017-11-08,N,913
"1 GERALDINE ST, COTTESLOE",RES,Non Strata,5200000,2008-01-23,N,708.144
"30 MARINE PDE, COTTESLOE",RES,Non Strata,5200000,2011-09-08,N,397
"12 ROSENDO ST, COTTESLOE",RES,Non Strata,5200000,2013-03-23,N,1317
"34 A AVONMORE TCE, COTTESLOE",RES,Vacant,5185000,2016-05-27,N,289
"34 A AVONMORE TCE, COTTESLOE",RES,Vacant,5185000,2016-05-27,N,289
"48 MARINE PDE, COTTESLOE",RES,Non Strata,5160000,2018-07-03,N,688
"27 A ERIC ST, COTTESLOE",RES,Non Strata,5100000,2022-03-31,N,354
"208 MARINE PDE, COTTESLOE",RES,Non Strata,5100000,2021-11-02,N,364.217
"60 A MARINE PDE, COTTESLOE",RES,Non Strata,5100000,2020-11-02,N,452
"124 BROOME ST, COTTESLOE",RES,Non Strata,5000005,2021-11-04,N,812
"220 MARINE PDE, COTTESLOE",RES,Non Strata,5000000,2012-09-27,Y,364.217
"218 MARINE PDE, COTTESLOE",RES,Non Strata,5000000,2012-09-27,Y,364.217
"13 JOHN ST, COTTESLOE",RES,Non Strata,5000000,2023-06-14,N,637
"45 BROOME ST, COTTESLOE",RES,Non Strata,5000000,2011-05-11,N,1186
"2 WEBB ST, COTTESLOE",RES,Non Strata,5000000,2021-06-02,N,885.25
"64 BROOME ST, COTTESLOE",RES,Non Strata,5000000,2018-11-08,N,925.718
"8 A NAILSWORTH ST, COTTESLOE",RES,Non Strata,5000000,2023-08-23,N,761
"13 JOHN ST, COTTESLOE",RES,Non Strata,5000000,2023-06-14,N,637
"8 A NAILSWORTH ST, COTTESLOE",RES,Non Strata,5000000,2023-08-23,N,761
"18 MARINE PDE, COTTESLOE",RES,Non Strata,4970000,2023-08-23,N,374
"12 LYONS ST, COTTESLOE",RES,Non Strata,4850000,2021-11-10,Y,480.564
"12 LYONS ST, COTTESLOE",RES,Non Strata,4850000,2021-11-10,Y,240
"6 A NAILSWORTH ST, COTTESLOE",RES,Strata,4850000,2020-10-23,N,578
"1-7 NAPOLEON ST, COTTESLOE",COM,Non Strata,4825000,2022-05-17,N,381.922
"6 B NAILSWORTH ST, COTTESLOE",RES,Strata,4800000,2020-10-18,N,570
"113 GRANT ST, COTTESLOE",RES,Non Strata,4800000,2023-06-17,Y,819.488
"113 A GRANT ST, COTTESLOE",RES,Non Strata,4800000,2023-06-17,Y,410
"18 LYONS ST, COTTESLOE",RES,Non Strata,4750000,2023-06-19,N,721
"1 A GERALDINE ST, COTTESLOE",RES,Non Strata,4750000,2021-04-19,N,355
"32 FORREST ST, COTTESLOE",RES,Non Strata,4730000,2023-05-18,N,637
"4 WEBB ST, COTTESLOE",RES,Non Strata,4725000,2018-08-12,N,882
"49 BRIGHTON ST, COTTESLOE",RES,Non Strata,4700000,2022-02-24,N,647.497
"17 MANN ST, COTTESLOE",RES,Non Strata,4700000,2021-11-20,Y,791.666
"19 MANN ST, COTTESLOE",RES,Non Strata,4700000,2021-11-20,Y,395
"259 MARMION ST, COTTESLOE",RES,Non Strata,4700000,2018-04-12,N,911
"12 LOMA ST, COTTESLOE",RES,Non Strata,4700000,2023-03-01,N,655.085
"12 FLORENCE ST, COTTESLOE",RES,Non Strata,4625000,2021-03-05,N,1111
"23 MANN ST, COTTESLOE",RES,Non Strata,4600000,2019-03-29,Y,832.135
"25 MANN ST, COTTESLOE",RES,Non Strata,4600000,2019-03-29,Y,832.135
"7 CLARENDON ST, COTTESLOE",RES,Non Strata,4600000,2009-05-01,N,1649
"53 JOHN ST, COTTESLOE",RES,Non Strata,4600000,2022-02-28,Y,510.916
"53 JOHN ST, COTTESLOE",RES,Non Strata,4600000,2022-02-28,Y,379.393
"9 SALVADO ST, COTTESLOE",RES,Non Strata,4600000,2020-12-07,N,911
"30 AVONMORE TCE, COTTESLOE",RES,Non Strata,4600000,2018-03-20,N,313
"13 BARSDEN ST, COTTESLOE",RES,Non Strata,4520000,2012-03-07,Y,911
"15 BARSDEN ST, COTTESLOE",RES,Non Strata,4520000,2012-03-07,Y,785
"248 MARINE PDE, COTTESLOE",RES,Non Strata,4500000,2018-11-11,N,513.445
