"sale_amount","sale_date","property_status","address","multi_lot_sale","land_area","suburb"
355000,"2000-02-22","House","84 ERIC ST, COTTESLOE","N",682.907,"COTTESLOE"
1470000,"2007-09-06","House","86 ERIC ST, COTTESLOE","N",682.907,"COTTESLOE"
306500,"1999-01-15","House","89 ERIC ST, COTTESLOE","N",708.144,"COTTESLOE"
1150000,"2018-11-30","House","72 A RAILWAY ST, COTTESLOE","N",450,"COTTESLOE"
890000,"2005-09-27","House","91 ERIC ST, COTTESLOE","N",648,"COTTESLOE"
2050000,"2022-07-30","House","8 BOREHAM ST, COTTESLOE","N",710.673,"COTTESLOE"
1820000,"2020-09-16","House","10 BOREHAM ST, COTTESLOE","N",710.673,"COTTESLOE"
2050000,"2020-02-17","House","93 ERIC ST, COTTESLOE","N",772,"COTTESLOE"
1790000,"2009-05-29","House","6 BOREHAM ST, COTTESLOE","N",710.673,"COTTESLOE"
1210000,"2009-04-10","House","12 BOREHAM ST, COTTESLOE","N",710.673,"COTTESLOE"
1430000,"2009-12-07","House","97 ERIC ST, COTTESLOE","N",710.673,"COTTESLOE"
1805000,"2021-02-11","House","95 ERIC ST, COTTESLOE","N",710.673,"COTTESLOE"
357000,"1994-07-12","House","14 BOREHAM ST, COTTESLOE","N",710.673,"COTTESLOE"
2800000,"2022-03-22","House","99 ERIC ST, COTTESLOE","N",710.673,"COTTESLOE"
1325000,"2011-10-17","House","18 BOREHAM ST, COTTESLOE","N",710.673,"COTTESLOE"
258000,"1995-04-06","House","22 BOREHAM ST, COTTESLOE","N",710.673,"COTTESLOE"
2500000,"2019-03-08","House","103 ERIC ST, COTTESLOE","N",710.673,"COTTESLOE"
1420000,"2012-06-26","House","20 BOREHAM ST, COTTESLOE","N",710.673,"COTTESLOE"
1850000,"2022-12-22","House","101 ERIC ST, COTTESLOE","N",710.673,"COTTESLOE"
340000,"1996-03-30","House","105 ERIC ST, COTTESLOE","N",710.673,"COTTESLOE"
550000,"2016-03-21","House","24 BOREHAM ST, COTTESLOE","N",710.673,"COTTESLOE"
2710000,"2020-12-17","House","26 BOREHAM ST, COTTESLOE","N",710.673,"COTTESLOE"
270000,"1993-08-16","House","30 BOREHAM ST, COTTESLOE","N",710.673,"COTTESLOE"
1400000,"2014-06-15","House","109 ERIC ST, COTTESLOE","N",710.673,"COTTESLOE"
