"sale_amount","sale_date","property_status","address","multi_lot_sale","land_area","suburb"
1600000,"2014-07-05","House","72 GRANT ST, COTTESLOE","N",480.564,"COTTESLOE"
2940000,"2021-12-13","House","78 GRANT ST, COTTESLOE","N",508.386,"COTTESLOE"
575000,"1999-01-29","House","88 GRANT ST, COTTESLOE","N",685.382,"COTTESLOE"
2181000,"2021-09-25","House","94 GRANT ST, COTTESLOE","N",685.382,"COTTESLOE"
170000,"1992-03-29","House","96 GRANT ST, COTTESLOE","N",685.382,"COTTESLOE"
1685000,"2021-07-16","House","92 GRANT ST, COTTESLOE","N",525,"COTTESLOE"
1270000,"2015-04-20","House","3 ELIZABETH ST, COTTESLOE","N",758.725,"COTTESLOE"
3800000,"2021-07-01","House","6 GRIVER ST, COTTESLOE","N",758.725,"COTTESLOE"
1461000,"2017-11-15","House","5 ELIZABETH ST, COTTESLOE","N",758.725,"COTTESLOE"
1725000,"2009-06-27","House","2 ELIZABETH ST, COTTESLOE","N",650,"COTTESLOE"
1110000,"2019-04-24","House","279 CURTIN AV, COTTESLOE","N",640,"COTTESLOE"
1400000,"2019-12-08","House","95 GRANT ST, COTTESLOE","N",640,"COTTESLOE"
2762500,"2021-09-24","House","93 GRANT ST, COTTESLOE","N",618,"COTTESLOE"
1695000,"2011-05-29","House","93 A GRANT ST, COTTESLOE","N",426,"COTTESLOE"
1335000,"2022-07-31","House","277 CURTIN AV, COTTESLOE","N",640,"COTTESLOE"
1287000,"2018-08-07","House","275 CURTIN AV, COTTESLOE","N",640,"COTTESLOE"
1870000,"2021-11-20","House","273 CURTIN AV, COTTESLOE","N",640,"COTTESLOE"
1500000,"2016-03-02","Strata","80 HAWKSTONE ST, COTTESLOE","N",413,"COTTESLOE"
1279000,"2013-07-01","House","84 HAWKSTONE ST, COTTESLOE","N",635,"COTTESLOE"
2250000,"2021-10-18","Strata","82 HAWKSTONE ST, COTTESLOE","N",447,"COTTESLOE"
1415000,"2020-05-28","House","76 HAWKSTONE ST, COTTESLOE","N",456,"COTTESLOE"
1305000,"2010-08-09","House","78 HAWKSTONE ST, COTTESLOE","N",456,"COTTESLOE"
2650000,"2021-04-19","House","4 BIRKBECK AV, COTTESLOE","N",453,"COTTESLOE"
307500,"1998-12-15","House","267 CURTIN AV, COTTESLOE","N",606.98,"COTTESLOE"
600000,"2003-09-18","House","269 CURTIN AV, COTTESLOE","N",606.98,"COTTESLOE"
10500,"2005-11-22","House","81 HAWKSTONE ST, COTTESLOE","N",558.928,"COTTESLOE"
435500,"2002-10-19","House","265 CURTIN AV, COTTESLOE","N",606.98,"COTTESLOE"
1225000,"2005-11-29","House","79 HAWKSTONE ST, COTTESLOE","N",558.928,"COTTESLOE"
650000,"2003-09-30","House","50 FLORENCE ST, COTTESLOE","N",655.033,"COTTESLOE"
515000,"2000-11-11","House","46 FLORENCE ST, COTTESLOE","N",657.562,"COTTESLOE"
1700000,"2019-04-24","House","44 FLORENCE ST, COTTESLOE","N",657.562,"COTTESLOE"
315000,"1995-07-31","House","75 HAWKSTONE ST, COTTESLOE","N",526.05,"COTTESLOE"
750000,"2005-01-03","House","73 HAWKSTONE ST, COTTESLOE","N",493.171,"COTTESLOE"
2350000,"2022-10-05","House","71 HAWKSTONE ST, COTTESLOE","N",493.171,"COTTESLOE"
2850000,"2021-12-13","House","69 HAWKSTONE ST, COTTESLOE","N",493.171,"COTTESLOE"
2850000,"2022-03-05","House","67 HAWKSTONE ST, COTTESLOE","N",493.171,"COTTESLOE"
1725000,"2013-11-28","House","42 FLORENCE ST, COTTESLOE","N",657.562,"COTTESLOE"
1900000,"2017-01-30","House","34 FLORENCE ST, COTTESLOE","N",657.562,"COTTESLOE"
1855000,"2020-09-03","House","32 FLORENCE ST, COTTESLOE","N",701,"COTTESLOE"
514000,"2001-07-22","House","65 HAWKSTONE ST, COTTESLOE","N",493.171,"COTTESLOE"
1150000,"2006-10-19","House","63 HAWKSTONE ST, COTTESLOE","N",493.171,"COTTESLOE"
2500000,"2012-06-20","House","61 HAWKSTONE ST, COTTESLOE","N",493.171,"COTTESLOE"
2630000,"2023-03-31","House","59 HAWKSTONE ST, COTTESLOE","N",493.171,"COTTESLOE"
1520000,"2019-04-25","House","58 HAWKSTONE ST, COTTESLOE","N",556,"COTTESLOE"
1400000,"2012-06-07","House","60 HAWKSTONE ST, COTTESLOE","N",556,"COTTESLOE"
1450000,"2015-05-31","House","62 HAWKSTONE ST, COTTESLOE","N",556,"COTTESLOE"
2900000,"2023-05-01","House","64 HAWKSTONE ST, COTTESLOE","N",556,"COTTESLOE"
2600000,"2020-02-04","House","66 HAWKSTONE ST, COTTESLOE","N",556,"COTTESLOE"
1500000,"2015-02-23","House","68 HAWKSTONE ST, COTTESLOE","N",556,"COTTESLOE"
2500000,"2007-10-29","House","74 HAWKSTONE ST, COTTESLOE","N",592,"COTTESLOE"
635000,"1999-02-17","House","85 GRANT ST, COTTESLOE","N",592,"COTTESLOE"
1650000,"2020-09-10","House","89 GRANT ST, COTTESLOE","N",683,"COTTESLOE"
320000,"1996-02-18","House","87 GRANT ST, COTTESLOE","N",683,"COTTESLOE"
312500,"1996-11-20","House","91 GRANT ST, COTTESLOE","N",683,"COTTESLOE"
585000,"1996-09-19","House","77 GRANT ST, COTTESLOE","N",556,"COTTESLOE"
1385000,"2016-06-11","House","75 A GRANT ST, COTTESLOE","N",556,"COTTESLOE"
2000000,"2022-09-05","House","73 GRANT ST, COTTESLOE","N",556,"COTTESLOE"
1365000,"2014-09-06","Empty block","71 A GRANT ST, COTTESLOE","N",556,"COTTESLOE"
3180000,"2021-02-24","House","71 GRANT ST, COTTESLOE","N",556,"COTTESLOE"
2675000,"2019-07-30","House","69 GRANT ST, COTTESLOE","N",556,"COTTESLOE"
4200000,"2022-09-09","House","67 GRANT ST, COTTESLOE","N",556,"COTTESLOE"
2525000,"2013-05-02","House","65 GRANT ST, COTTESLOE","N",556,"COTTESLOE"
1250000,"2005-11-17","House","63 GRANT ST, COTTESLOE","N",556,"COTTESLOE"
2015000,"2023-02-17","House","61 A GRANT ST, COTTESLOE","N",556,"COTTESLOE"
965000,"2005-04-02","House","61 GRANT ST, COTTESLOE","N",556,"COTTESLOE"
820000,"2004-04-17","House","55 GRANT ST, COTTESLOE","N",582,"COTTESLOE"
1400000,"2016-12-04","House","59 GRANT ST, COTTESLOE","N",556,"COTTESLOE"
2190000,"2008-04-02","House","302 MARMION ST, COTTESLOE","N",673,"COTTESLOE"
3620000,"2015-08-23","House","298 MARMION ST, COTTESLOE","N",673,"COTTESLOE"
184000,"1991-11-23","House","42 HAWKSTONE ST, COTTESLOE","N",556,"COTTESLOE"
1015000,"2004-08-26","House","48 HAWKSTONE ST, COTTESLOE","N",556,"COTTESLOE"
1700000,"2008-10-07","House","52 HAWKSTONE ST, COTTESLOE","N",556,"COTTESLOE"
3000000,"2021-03-05","House","50 HAWKSTONE ST, COTTESLOE","N",556,"COTTESLOE"
316000,"1995-12-17","House","54 HAWKSTONE ST, COTTESLOE","N",556,"COTTESLOE"
1380000,"2009-10-15","House","57 HAWKSTONE ST, COTTESLOE","N",493.211,"COTTESLOE"
256000,"1993-08-28","House","53 HAWKSTONE ST, COTTESLOE","N",493.171,"COTTESLOE"
2650000,"2011-09-07","House","51 HAWKSTONE ST, COTTESLOE","N",493.171,"COTTESLOE"
702000,"2005-06-08","Empty block","28 FLORENCE ST, COTTESLOE","N",445,"COTTESLOE"
2250000,"2014-04-17","Strata","26 FLORENCE ST, COTTESLOE","N",445,"COTTESLOE"
2150000,"2009-11-21","House","24 FLORENCE ST, COTTESLOE","N",617.146,"COTTESLOE"
1200000,"2006-03-03","House","22 FLORENCE ST, COTTESLOE","N",617.146,"COTTESLOE"
1650000,"2009-11-20","House","18 FLORENCE ST, COTTESLOE","N",617.146,"COTTESLOE"
690000,"2002-03-19","House","49 HAWKSTONE ST, COTTESLOE","N",493.171,"COTTESLOE"
210000,"1990-04-07","House","47 A HAWKSTONE ST, COTTESLOE","N",493.171,"COTTESLOE"
400000,"1998-07-29","House","47 HAWKSTONE ST, COTTESLOE","N",493.171,"COTTESLOE"
1265000,"2009-05-20","House","45 HAWKSTONE ST, COTTESLOE","N",493.171,"COTTESLOE"
565000,"2001-12-17","House","294 MARMION ST, COTTESLOE","N",589.277,"COTTESLOE"
512000,"1998-03-25","House","292 MARMION ST, COTTESLOE","N",589.277,"COTTESLOE"
1955500,"2009-10-09","House","296 MARMION ST, COTTESLOE","N",589.277,"COTTESLOE"
2850000,"2016-05-04","House","290 MARMION ST, COTTESLOE","N",589.277,"COTTESLOE"
300000,"1994-08-31","House","286 MARMION ST, COTTESLOE","N",589.277,"COTTESLOE"
3800000,"2011-05-17","House","41 HAWKSTONE ST, COTTESLOE","N",698,"COTTESLOE"
3300000,"2022-11-27","House","291 MARMION ST, COTTESLOE","N",675,"COTTESLOE"
3600000,"2022-03-10","House","293 MARMION ST, COTTESLOE","N",440,"COTTESLOE"
6950000,"2022-03-05","House","14 FLORENCE ST, COTTESLOE","N",1144,"COTTESLOE"
2550000,"2020-11-10","House","287 MARMION ST, COTTESLOE","N",767,"COTTESLOE"
4625000,"2021-03-05","House","12 FLORENCE ST, COTTESLOE","N",1111,"COTTESLOE"
3300000,"2023-01-29","House","35 HAWKSTONE ST, COTTESLOE","N",749,"COTTESLOE"
1350000,"2019-06-10","Empty block","8 A FLORENCE ST, COTTESLOE","N",533,"COTTESLOE"
3400000,"2023-02-07","House","33 HAWKSTONE ST, COTTESLOE","N",749,"COTTESLOE"
4350000,"2008-10-03","House","6 FLORENCE ST, COTTESLOE","N",1014,"COTTESLOE"
3025000,"2009-10-11","House","29 HAWKSTONE ST, COTTESLOE","N",749,"COTTESLOE"
4350000,"2021-03-10","House","14 CHAMBERLAIN ST, COTTESLOE","N",588,"COTTESLOE"
3200000,"2022-03-14","House","4 FLORENCE ST, COTTESLOE","N",722,"COTTESLOE"
1016000,"2003-11-29","House","27 HAWKSTONE ST, COTTESLOE","N",670.261,"COTTESLOE"
2575000,"2018-04-03","House","25 HAWKSTONE ST, COTTESLOE","N",672.736,"COTTESLOE"
330000,"1996-09-04","Empty block","28 HAWKSTONE ST, COTTESLOE","N",888,"COTTESLOE"
3000000,"2022-09-02","House","24 HAWKSTONE ST, COTTESLOE","N",668,"COTTESLOE"
660000,"1998-12-14","House","30 HAWKSTONE ST, COTTESLOE","N",893,"COTTESLOE"
1385000,"2017-01-19","Empty block","32 HAWKSTONE ST, COTTESLOE","N",444,"COTTESLOE"
1760000,"2017-04-08","Strata","34 HAWKSTONE ST, COTTESLOE","N",600,"COTTESLOE"
900000,"2016-09-29","Strata","34 A HAWKSTONE ST, COTTESLOE","N",294,"COTTESLOE"
2966000,"2020-07-02","House","40 HAWKSTONE ST, COTTESLOE","N",567,"COTTESLOE"
955000,"2005-02-15","Empty block","38 HAWKSTONE ST, COTTESLOE","N",565,"COTTESLOE"
4375000,"2021-11-06","House","297 MARMION ST, COTTESLOE","N",567,"COTTESLOE"
825000,"2001-07-01","House","301 MARMION ST, COTTESLOE","N",847,"COTTESLOE"
1684000,"2005-10-29","House","43 GRANT ST, COTTESLOE","N",893,"COTTESLOE"
3620000,"2019-12-11","House","41 GRANT ST, COTTESLOE","N",893,"COTTESLOE"
3633500,"2020-08-06","House","39 GRANT ST, COTTESLOE","N",893,"COTTESLOE"
197000,"1988-08-09","House","40 GRANT ST, COTTESLOE","N",617.146,"COTTESLOE"
2355000,"2014-11-10","House","38 GRANT ST, COTTESLOE","N",617.146,"COTTESLOE"
2120000,"2021-03-17","House","42 GRANT ST, COTTESLOE","N",528.621,"COTTESLOE"
2000000,"2021-07-27","House","44 GRANT ST, COTTESLOE","N",528.621,"COTTESLOE"
2000000,"2013-09-16","House","2 LYONS ST, COTTESLOE","N",361,"COTTESLOE"
2650000,"2015-02-16","House","36 GRANT ST, COTTESLOE","N",619.675,"COTTESLOE"
1870000,"2013-06-02","House","34 GRANT ST, COTTESLOE","N",668,"COTTESLOE"
2212500,"2019-12-15","House","4 BRIGHTON ST, COTTESLOE","N",667,"COTTESLOE"
2600000,"2023-08-12","House","3 LYONS ST, COTTESLOE","N",361,"COTTESLOE"
1850000,"2018-07-04","House","6 BRIGHTON ST, COTTESLOE","N",667,"COTTESLOE"
872500,"2004-06-22","House","7 LYONS ST, COTTESLOE","N",481,"COTTESLOE"
2040000,"2016-11-19","House","5 LYONS ST, COTTESLOE","N",480.564,"COTTESLOE"
310000,"1996-06-11","Empty block","8 BRIGHTON ST, COTTESLOE","N",667,"COTTESLOE"
1935000,"2020-05-19","House","10 BRIGHTON ST, COTTESLOE","N",667,"COTTESLOE"
1230000,"2012-03-31","House","9 LYONS ST, COTTESLOE","N",481,"COTTESLOE"
1230000,"2012-10-28","House","307 A MARMION ST, COTTESLOE","N",480.564,"COTTESLOE"
1175000,"2012-11-08","House","307 MARMION ST, COTTESLOE","N",480.564,"COTTESLOE"
1850000,"2020-07-06","House","2 A LYONS ST, COTTESLOE","N",361,"COTTESLOE"
800000,"2002-10-07","House","48 GRANT ST, COTTESLOE","N",528.621,"COTTESLOE"
740000,"2003-06-08","House","46 GRANT ST, COTTESLOE","N",528.621,"COTTESLOE"
370000,"1989-01-28","House","309 MARMION ST, COTTESLOE","N",480.564,"COTTESLOE"
2110000,"2021-03-15","House","311 MARMION ST, COTTESLOE","N",480.564,"COTTESLOE"
430000,"1995-11-18","House","8 LYONS ST, COTTESLOE","N",480.564,"COTTESLOE"
2350000,"2023-02-04","House","313 MARMION ST, COTTESLOE","N",480.564,"COTTESLOE"
575000,"2002-09-28","House","50 GRANT ST, COTTESLOE","N",528.621,"COTTESLOE"
1750000,"2015-11-17","House","54 GRANT ST, COTTESLOE","N",528.579,"COTTESLOE"
1375000,"2005-04-08","House","52 GRANT ST, COTTESLOE","N",528.621,"COTTESLOE"
1720000,"2020-06-28","House","58 GRANT ST, COTTESLOE","N",670.261,"COTTESLOE"
555000,"1998-10-05","House","1 ANDREWS PL, COTTESLOE","N",703.141,"COTTESLOE"
1625000,"2017-03-09","House","56 GRANT ST, COTTESLOE","N",685.436,"COTTESLOE"
700000,"2002-01-01","House","3 ANDREWS PL, COTTESLOE","N",723.376,"COTTESLOE"
1850000,"2019-11-04","House","60 GRANT ST, COTTESLOE","N",687.966,"COTTESLOE"
900000,"2004-04-17","House","5 ANDREWS PL, COTTESLOE","N",725.905,"COTTESLOE"
2430000,"2022-03-05","House","62 GRANT ST, COTTESLOE","N",687.966,"COTTESLOE"
1525000,"2014-02-01","House","66 GRANT ST, COTTESLOE","N",687.966,"COTTESLOE"
1768000,"2010-08-16","House","68 GRANT ST, COTTESLOE","N",698.083,"COTTESLOE"
342500,"1994-11-10","House","64 GRANT ST, COTTESLOE","N",687.966,"COTTESLOE"
1250000,"2006-02-01","House","13 ANDREWS PL, COTTESLOE","N",637.38,"COTTESLOE"
6825000,"2020-01-24","House","17 ANDREWS PL, COTTESLOE","N",1375,"COTTESLOE"
5900000,"2023-08-28","House","2 ANDREWS PL, COTTESLOE","N",657.614,"COTTESLOE"
3445000,"2023-08-30","House","324 MARMION ST, COTTESLOE","N",693.024,"COTTESLOE"
195000,"1990-01-21","House","326 MARMION ST, COTTESLOE","N",693.024,"COTTESLOE"
2250000,"2015-06-17","House","6 ANDREWS PL, COTTESLOE","N",698.083,"COTTESLOE"
2100000,"2014-11-16","House","7 ACKLAND WAY, COTTESLOE","N",685.436,"COTTESLOE"
3305000,"2021-02-11","House","8 ANDREWS PL, COTTESLOE","N",715.788,"COTTESLOE"
2050000,"2010-03-04","House","5 ACKLAND WAY, COTTESLOE","N",685.436,"COTTESLOE"
1950000,"2013-01-09","House","23 ANDREWS PL, COTTESLOE","N",728.434,"COTTESLOE"
279000,"1990-08-30","House","9 ACKLAND WAY, COTTESLOE","N",685.436,"COTTESLOE"
3300000,"2014-12-02","House","19 ANDREWS PL, COTTESLOE","N",698.083,"COTTESLOE"
3275000,"2017-09-11","House","3 ACKLAND WAY, COTTESLOE","N",685.436,"COTTESLOE"
310000,"1995-01-19","House","22 LYONS ST, COTTESLOE","N",721,"COTTESLOE"
1350000,"2013-10-13","House","24 LYONS ST, COTTESLOE","N",480.564,"COTTESLOE"
880000,"2003-09-24","Strata","327 MARMION ST, COTTESLOE","N",524,"COTTESLOE"
385000,"1998-01-23","Strata","325 MARMION ST, COTTESLOE","N",594,"COTTESLOE"
4750000,"2023-06-19","House","18 LYONS ST, COTTESLOE","N",721,"COTTESLOE"
1280000,"2016-06-30","House","16 LYONS ST, COTTESLOE","N",480.564,"COTTESLOE"
3200000,"2023-04-22","Strata","323 MARMION ST, COTTESLOE","N",609,"COTTESLOE"
2355000,"2015-08-04","House","321 MARMION ST, COTTESLOE","N",480.564,"COTTESLOE"
1485000,"2020-07-01","House","319 MARMION ST, COTTESLOE","N",480.564,"COTTESLOE"
410000,"1998-04-28","House","14 LYONS ST, COTTESLOE","N",480.564,"COTTESLOE"
2900000,"2012-06-22","House","12 BRIGHTON ST, COTTESLOE","N",668,"COTTESLOE"
2500000,"2008-03-01","House","14 BRIGHTON ST, COTTESLOE","N",667,"COTTESLOE"
1610000,"2004-11-02","House","13 LYONS ST, COTTESLOE","N",480.564,"COTTESLOE"
1575000,"2011-01-31","House","15 LYONS ST, COTTESLOE","N",481,"COTTESLOE"
1348000,"2009-04-25","House","17 LYONS ST, COTTESLOE","N",481,"COTTESLOE"
2480000,"2009-07-19","House","22 BRIGHTON ST, COTTESLOE","N",854,"COTTESLOE"
355000,"1994-09-08","House","21 LYONS ST, COTTESLOE","N",481,"COTTESLOE"
2500000,"2012-08-14","House","20 BRIGHTON ST, COTTESLOE","N",480,"COTTESLOE"
165000,"1991-03-18","House","23 LYONS ST, COTTESLOE","N",481,"COTTESLOE"
2100000,"2012-06-30","House","25 LYONS ST, COTTESLOE","N",480.564,"COTTESLOE"
3000000,"2021-02-26","House","21 BRIGHTON ST, COTTESLOE","N",614.568,"COTTESLOE"
196000,"1992-01-16","House","23 BRIGHTON ST, COTTESLOE","N",614.568,"COTTESLOE"
2000000,"2019-05-11","House","212 BROOME ST, COTTESLOE","N",614.568,"COTTESLOE"
1860000,"2019-02-12","House","204 BROOME ST, COTTESLOE","N",614.568,"COTTESLOE"
4050000,"2020-09-21","House","202 BROOME ST, COTTESLOE","N",615,"COTTESLOE"
4100000,"2007-03-31","House","200 BROOME ST, COTTESLOE","N",614.568,"COTTESLOE"
430000,"1994-01-18","House","198 BROOME ST, COTTESLOE","N",614.568,"COTTESLOE"
215000,"1988-10-17","House","13 BRIGHTON ST, COTTESLOE","N",614.568,"COTTESLOE"
1014000,"2009-07-24","House","15 BRIGHTON ST, COTTESLOE","N",614.568,"COTTESLOE"
2100000,"2019-12-15","House","11 BRIGHTON ST, COTTESLOE","N",614.568,"COTTESLOE"
720000,"2002-05-03","House","9 BRIGHTON ST, COTTESLOE","N",614.568,"COTTESLOE"
1850000,"2014-06-09","House","7 BRIGHTON ST, COTTESLOE","N",614.568,"COTTESLOE"
945000,"2004-03-29","House","5 BRIGHTON ST, COTTESLOE","N",614.568,"COTTESLOE"
616666,"2020-05-27","House","30 GRANT ST, COTTESLOE","N",669,"COTTESLOE"
4200000,"2023-01-16","House","1 BRIGHTON ST, COTTESLOE","N",614.568,"COTTESLOE"
2000000,"2011-04-10","House","3 BRIGHTON ST, COTTESLOE","N",614.568,"COTTESLOE"
270000,"1991-11-06","House","192 BROOME ST, COTTESLOE","N",614.568,"COTTESLOE"
7000000,"2019-06-20","House","191 BROOME ST, COTTESLOE","N",658,"COTTESLOE"
1167000,"2000-08-15","House","193 BROOME ST, COTTESLOE","N",675.319,"COTTESLOE"
5700000,"2006-07-01","House","22 GRANT ST, COTTESLOE","N",678,"COTTESLOE"
4450000,"2022-05-31","House","199 BROOME ST, COTTESLOE","N",675.319,"COTTESLOE"
357500,"1993-01-16","House","197 BROOME ST, COTTESLOE","N",675.319,"COTTESLOE"
4500000,"2018-08-23","House","6 OZONE PDE, COTTESLOE","N",675.319,"COTTESLOE"
4325000,"2018-07-30","House","8 OZONE PDE, COTTESLOE","N",675.319,"COTTESLOE"
6900000,"2022-12-14","House","10 OZONE PDE, COTTESLOE","N",675.319,"COTTESLOE"
10250000,"2021-03-28","House","4 OZONE PDE, COTTESLOE","N",675.319,"COTTESLOE"
1890000,"2003-07-10","House","18 GRANT ST, COTTESLOE","N",434,"COTTESLOE"
3420000,"2018-10-16","Empty block","2 A OZONE PDE, COTTESLOE","N",452,"COTTESLOE"
5750000,"2017-04-29","House","16 GRANT ST, COTTESLOE","N",451,"COTTESLOE"
5540000,"2009-04-11","House","2 MARGARET ST, COTTESLOE","N",551,"COTTESLOE"
4100000,"2008-06-19","House","8 GRANT ST, COTTESLOE","N",443,"COTTESLOE"
2950000,"2009-01-28","House","10 GRANT ST, COTTESLOE","N",443,"COTTESLOE"
3072000,"2014-05-14","House","1 MARGARET ST, COTTESLOE","N",324,"COTTESLOE"
3750000,"2018-12-14","House","170 LITTLE MARINE PDE, COTTESLOE","N",465,"COTTESLOE"
2350000,"2010-12-15","House","3 MARGARET ST, COTTESLOE","N",409.744,"COTTESLOE"
440000,"1992-09-28","House","5 MARGARET ST, COTTESLOE","N",394.568,"COTTESLOE"
2275000,"2011-03-26","House","7 MARGARET ST, COTTESLOE","N",402.156,"COTTESLOE"
2875000,"2013-01-19","House","174 LITTLE MARINE PDE, COTTESLOE","N",437.566,"COTTESLOE"
3750000,"2020-09-06","House","176 LITTLE MARINE PDE, COTTESLOE","N",445.154,"COTTESLOE"
1510000,"2003-10-25","House","6 MARGARET ST, COTTESLOE","N",490.681,"COTTESLOE"
284000,"1989-07-22","House","8 MARGARET ST, COTTESLOE","N",490.681,"COTTESLOE"
923000,"2001-03-17","House","10 MARGARET ST, COTTESLOE","N",490.681,"COTTESLOE"
1500000,"2005-02-12","House","14 MARGARET ST, COTTESLOE","N",490.681,"COTTESLOE"
1100000,"2003-06-27","House","16 MARGARET ST, COTTESLOE","N",490.681,"COTTESLOE"
2060000,"2006-01-26","House","20 MARGARET ST, COTTESLOE","N",490.681,"COTTESLOE"
1700000,"2004-01-15","House","14 OZONE PDE, COTTESLOE","N",675.319,"COTTESLOE"
2430000,"2014-06-25","House","205 BROOME ST, COTTESLOE","N",675.319,"COTTESLOE"
3700000,"2023-04-14","House","207 BROOME ST, COTTESLOE","N",675.319,"COTTESLOE"
2050000,"2009-09-01","House","209 BROOME ST, COTTESLOE","N",675.319,"COTTESLOE"
1200000,"2003-06-28","House","211 BROOME ST, COTTESLOE","N",675.319,"COTTESLOE"
5,"1994-01-28","House","16 OZONE PDE, COTTESLOE","N",675.319,"COTTESLOE"
3350000,"2012-03-15","House","18 OZONE PDE, COTTESLOE","N",675.319,"COTTESLOE"
3295000,"2011-09-18","House","22 OZONE PDE, COTTESLOE","N",675.319,"COTTESLOE"
1800000,"2004-02-29","House","20 OZONE PDE, COTTESLOE","N",675.319,"COTTESLOE"
1173000,"2003-06-28","House","215 BROOME ST, COTTESLOE","N",675.319,"COTTESLOE"
815000,"1999-07-17","House","26 MARGARET ST, COTTESLOE","N",490.681,"COTTESLOE"
55000,"1988-12-16","House","24 MARGARET ST, COTTESLOE","N",490.681,"COTTESLOE"
370000,"1993-05-20","House","22 MARGARET ST, COTTESLOE","N",490.681,"COTTESLOE"
1800000,"2008-02-16","Empty block","25 MARGARET ST, COTTESLOE","N",371.805,"COTTESLOE"
4200000,"2017-03-06","House","194 MARINE PDE, COTTESLOE","N",495.74,"COTTESLOE"
380000,"2016-09-13","House","23 MARGARET ST, COTTESLOE","N",485.623,"COTTESLOE"
2060000,"2010-10-26","House","21 MARGARET ST, COTTESLOE","N",478.035,"COTTESLOE"
750000,"2001-05-23","House","186 LITTLE MARINE PDE, COTTESLOE","N",440.096,"COTTESLOE"
277500,"1993-08-17","House","19 MARGARET ST, COTTESLOE","N",470.447,"COTTESLOE"
1475000,"2013-05-25","House","17 MARGARET ST, COTTESLOE","N",483.093,"COTTESLOE"
440000,"1996-10-03","Empty block","184 LITTLE MARINE PDE, COTTESLOE","N",455.271,"COTTESLOE"
3300000,"2010-01-30","House","182 LITTLE MARINE PDE, COTTESLOE","N",447.683,"COTTESLOE"
1900000,"2014-02-02","House","11 MARGARET ST, COTTESLOE","N",440.096,"COTTESLOE"
2695000,"2019-05-13","House","178 LITTLE MARINE PDE, COTTESLOE","N",432.508,"COTTESLOE"
2000000,"2013-08-10","House","9 MARGARET ST, COTTESLOE","N",432.508,"COTTESLOE"
1100000,"2002-11-02","House","172 LITTLE MARINE PDE, COTTESLOE","N",409.744,"COTTESLOE"
4100000,"2018-10-29","House","6 GRANT ST, COTTESLOE","N",443,"COTTESLOE"
1150000,"1998-05-07","House","2 GRANT ST, COTTESLOE","N",508.386,"COTTESLOE"
6500000,"2016-05-18","Empty block","164 MARINE PDE, COTTESLOE","N",708.144,"COTTESLOE"
4200000,"2005-08-02","House","19 HAMERSLEY ST, COTTESLOE","N",624.684,"COTTESLOE"
1290000,"1998-07-14","Empty block","17 HAMERSLEY ST, COTTESLOE","N",649.975,"COTTESLOE"
7100000,"2020-08-28","House","2 TORRENS CT, COTTESLOE","N",527,"COTTESLOE"
455000,"1990-09-20","House","20 HAMERSLEY ST, COTTESLOE","N",627.213,"COTTESLOE"
2300000,"2014-12-06","House","5 HAWKSTONE ST, COTTESLOE","N",529,"COTTESLOE"
600000,"2000-08-14","Empty block","2 A TORRENS CT, COTTESLOE","N",301,"COTTESLOE"
1800000,"2002-12-26","House","18 HAMERSLEY ST, COTTESLOE","N",336,"COTTESLOE"
6700000,"2022-08-06","House","4 TORRENS CT, COTTESLOE","N",456,"COTTESLOE"
2300000,"2017-04-28","House","6 TORRENS CT, COTTESLOE","N",459,"COTTESLOE"
5400000,"2022-01-16","House","7 HAWKSTONE ST, COTTESLOE","N",591,"COTTESLOE"
3900000,"2023-03-21","House","167 BROOME ST, COTTESLOE","N",405,"COTTESLOE"
3400000,"2023-06-23","House","12 TORRENS ST, COTTESLOE","N",405,"COTTESLOE"
1700000,"2014-12-02","House","10 TORRENS ST, COTTESLOE","N",405,"COTTESLOE"
600000,"2000-12-09","House","14 TORRENS ST, COTTESLOE","N",405,"COTTESLOE"
1500000,"2010-09-23","House","165 BROOME ST, COTTESLOE","N",405,"COTTESLOE"
650000,"2002-12-03","Empty block","169 BROOME ST, COTTESLOE","N",411,"COTTESLOE"
220000,"1990-06-29","Strata","11 C HAWKSTONE ST, COTTESLOE","N",329,"COTTESLOE"
285000,"1993-11-22","Strata","11 B HAWKSTONE ST, COTTESLOE","N",251,"COTTESLOE"
2000000,"2015-11-11","House","171 BROOME ST, COTTESLOE","N",411,"COTTESLOE"
3225000,"2021-02-25","House","13 HAWKSTONE ST, COTTESLOE","N",402,"COTTESLOE"
1200000,"2016-02-23","Strata","11 A HAWKSTONE ST, COTTESLOE","N",370,"COTTESLOE"
1000000,"2000-04-08","House","177 BROOME ST, COTTESLOE","N",627,"COTTESLOE"
2100000,"2017-06-07","House","179 BROOME ST, COTTESLOE","N",315,"COTTESLOE"
3950000,"2016-05-09","House","4 HAWKSTONE ST, COTTESLOE","N",726,"COTTESLOE"
7250000,"2013-10-19","House","2 HAWKSTONE ST, COTTESLOE","N",733,"COTTESLOE"
2154771,"2005-01-27","Empty block","7 GRANT ST, COTTESLOE","N",368,"COTTESLOE"
800000,"2002-08-14","Empty block","11 A GRANT ST, COTTESLOE","N",359,"COTTESLOE"
500000,"1998-06-23","Empty block","15 GRANT ST, COTTESLOE","N",365,"COTTESLOE"
1700000,"2003-12-31","House","15 A GRANT ST, COTTESLOE","N",365,"COTTESLOE"
