address,data_source,property_status,sale_amount,sale_date,multi_lot_sale,land_area
"1/158 MARINE PDE, COTTESLOE",residential,Strata,2535000,2019-10-26,N,882.65
"12 FORREST ST, COTTESLOE",residential,Non Strata,615000,1994-03-06,N,637
"9/9 JOHN ST, COTTESLOE",residential,Strata,662000,2022-06-02,N,637
"13 JOHN ST, COTTESLOE",residential,Non Strata,5000000,2023-06-14,N,637
"10 JOHN ST, COTTESLOE",residential,Non Strata,1900000,2017-06-30,N,249
"4/12 JOHN ST, COTTESLOE",residential,Strata,1700000,2023-03-29,N,663
"11 WARNHAM RD, COTTESLOE",residential,Non Strata,1900000,2018-05-19,N,207
"9 WARNHAM RD, COTTESLOE",residential,Non Strata,1900000,2018-04-15,N,207
"2/16 OVERTON GDNS, COTTESLOE",residential,Strata,3600000,2022-03-23,N,1119
"12 WARNHAM RD, COTTESLOE",residential,Non Strata,2350000,2017-11-26,N,282
"10 WARNHAM RD, COTTESLOE",residential,Non Strata,1850000,2012-12-06,N,282
"13 C OVERTON GDNS, COTTESLOE",residential,Strata,2820000,2023-02-27,N,559
"13 OVERTON GDNS, COTTESLOE",residential,Non Strata,2850000,2020-11-28,N,559
"13 A OVERTON GDNS, COTTESLOE",residential,Strata,2925000,2023-09-08,N,559
"9 OVERTON GDNS, COTTESLOE",residential,Non Strata,910000,2023-04-20,Y,559
"4/15 OVERTON GDNS, COTTESLOE",residential,Strata,2750000,2023-05-02,N,1677
"3/15 OVERTON GDNS, COTTESLOE",residential,Strata,2500000,2024-01-22,N,1677
"1/7 NAPIER ST, COTTESLOE",residential,Strata,825000,2022-01-05,N,567
"1 B GADSDON ST, COTTESLOE",residential,Strata,13000,2018-06-14,N,500
"7 GADSDON ST, COTTESLOE",residential,Non Strata,2000000,2016-07-11,N,222
"3 GADSDON ST, COTTESLOE",residential,Non Strata,1962500,2006-07-01,N,208
"3 A EILEEN ST, COTTESLOE",residential,Non Strata,12522250,2022-03-07,Y,759
"5 GADSDON ST, COTTESLOE",residential,Non Strata,1350000,2005-02-11,N,200
"9 EILEEN ST, COTTESLOE",residential,Non Strata,395000,1993-09-18,N,612
"10 EILEEN ST, COTTESLOE",residential,Non Strata,1150000,1996-09-03,N,572
"7 A EILEEN ST, COTTESLOE",residential,Non Strata,2000000,2022-05-25,N,170
"7 A EILEEN ST, COTTESLOE",commercial,Vacant,103000,1993-09-24,N,170
"7 EILEEN ST, COTTESLOE",commercial,Vacant,103000,1993-09-24,N,170
"7 EILEEN ST, COTTESLOE",residential,Non Strata,917600,2004-03-26,N,170
"8 EILEEN ST, COTTESLOE",residential,Non Strata,1150000,1995-11-02,Y,572
"10 ERIC ST, COTTESLOE",residential,Strata,720000,2001-01-10,N,425
"4/6 ERIC ST, COTTESLOE",residential,Strata,1200000,2023-07-05,N,1282
"2/6 ERIC ST, COTTESLOE",residential,Strata,1325000,2023-11-24,N,1282
"7 HAMERSLEY ST, COTTESLOE",residential,Non Strata,3200000,2016-12-24,N,647.446
"5 HAMERSLEY ST, COTTESLOE",residential,Non Strata,2350000,2011-01-24,N,325
"11 HAMERSLEY ST, COTTESLOE",residential,Non Strata,3400000,2015-12-01,N,325
"11 A HAMERSLEY ST, COTTESLOE",residential,Non Strata,3820000,2018-04-02,N,325
"13 A HAMERSLEY ST, COTTESLOE",residential,Non Strata,4100000,2006-05-21,N,325
"13 HAMERSLEY ST, COTTESLOE",residential,Non Strata,4125000,2021-11-25,N,325
"19 HAMERSLEY ST, COTTESLOE",residential,Non Strata,4200000,2005-08-02,N,624.684
"17 HAMERSLEY ST, COTTESLOE",residential,Vacant,1290000,1998-07-14,N,649.975
"166 MARINE PDE, COTTESLOE",residential,Non Strata,3000000,2002-05-31,Y,624.684
"6 GRANT ST, COTTESLOE",residential,Non Strata,4100000,2018-10-29,N,443
"2 GRANT ST, COTTESLOE",residential,Non Strata,1150000,1998-05-07,N,508.386
"170 LITTLE MARINE PDE, COTTESLOE",residential,Non Strata,3750000,2018-12-14,N,465
"172 LITTLE MARINE PDE, COTTESLOE",residential,Non Strata,1100000,2002-11-02,N,409.744
"174 LITTLE MARINE PDE, COTTESLOE",residential,Non Strata,2875000,2013-01-19,N,437.566
"176 LITTLE MARINE PDE, COTTESLOE",residential,Non Strata,3750000,2020-09-06,N,445.154
"13 MARGARET ST, COTTESLOE",residential,Non Strata,2860000,2013-12-02,Y,447.683
"178 LITTLE MARINE PDE, COTTESLOE",residential,Non Strata,2695000,2019-05-13,N,432.508
"182 LITTLE MARINE PDE, COTTESLOE",residential,Non Strata,3300000,2010-01-30,N,447.683
"15 MARGARET ST, COTTESLOE",residential,Non Strata,2860000,2013-12-02,Y,457.801
"184 LITTLE MARINE PDE, COTTESLOE",residential,Vacant,440000,1996-10-03,N,455.271
"5/190 LITTLE MARINE PDE, COTTESLOE",residential,Strata,350000,2022-04-14,N,1439
"19 MARGARET ST, COTTESLOE",residential,Non Strata,277500,1993-08-17,N,470.447
"186 LITTLE MARINE PDE, COTTESLOE",residential,Non Strata,750000,2001-05-23,N,440.096
"21 MARGARET ST, COTTESLOE",residential,Non Strata,2060000,2010-10-26,N,478.035
"17 MARGARET ST, COTTESLOE",residential,Non Strata,1475000,2013-05-25,N,483.093
"202 MARINE PDE, COTTESLOE",residential,Non Strata,4300000,2007-02-21,N,364.217
"29 FLORENCE ST, COTTESLOE",residential,Non Strata,2020000,2012-07-11,N,556
"27 MARGARET ST, COTTESLOE",residential,Non Strata,725000,2000-10-28,Y,488.152
"23 MARGARET ST, COTTESLOE",residential,Non Strata,380000,2016-09-13,N,485.623
"194 MARINE PDE, COTTESLOE",residential,Non Strata,4200000,2017-03-06,N,495.74
"27 A MARGARET ST, COTTESLOE",residential,Non Strata,725000,2000-10-28,Y,123.935
"25 MARGARET ST, COTTESLOE",residential,Vacant,1800000,2008-02-16,N,371.805
"200 MARINE PDE, COTTESLOE",residential,Non Strata,1580000,2003-04-23,N,343.983
"2 VERA VIEW PDE, COTTESLOE",residential,Non Strata,750000,2005-06-01,N,338.924
"198 MARINE PDE, COTTESLOE",residential,Non Strata,375000,1988-11-09,N,450.213
"204 MARINE PDE, COTTESLOE",residential,Non Strata,3100000,2013-05-21,N,364.217
"29 MARGARET ST, COTTESLOE",residential,Non Strata,855000,2002-03-01,Y,364
"210 MARINE PDE, COTTESLOE",residential,Non Strata,1035000,1997-04-29,N,541.267
"208 MARINE PDE, COTTESLOE",residential,Non Strata,5100000,2021-11-02,N,364.217
"206 MARINE PDE, COTTESLOE",residential,Non Strata,885000,1998-04-04,N,364.217
"218 MARINE PDE, COTTESLOE",residential,Non Strata,5000000,2012-09-27,Y,364.217
"220 MARINE PDE, COTTESLOE",residential,Non Strata,5000000,2012-09-27,Y,364.217
"216 MARINE PDE, COTTESLOE",residential,Non Strata,580000,1996-01-22,N,364.217
"214 MARINE PDE, COTTESLOE",residential,Non Strata,810000,1997-06-09,N,551.384
"2/18 FORREST ST, COTTESLOE",residential,Strata,1350000,2006-11-17,N,1152
"14 FORREST ST, COTTESLOE",residential,Vacant,700000,2001-04-10,N,380
"20 FORREST ST, COTTESLOE",residential,Non Strata,3420000,2022-07-02,N,488
"14 A FORREST ST, COTTESLOE",residential,Non Strata,2750000,2017-02-11,N,380
"21 JOHN ST, COTTESLOE",residential,Non Strata,1400000,2003-01-22,N,594
"17 A JOHN ST, COTTESLOE",residential,Non Strata,4250000,2023-12-07,N,319
"17 A JOHN ST, COTTESLOE",residential,Vacant,1200000,2005-09-17,N,319
"15 JOHN ST, COTTESLOE",residential,Non Strata,850000,1994-03-02,N,637
"17 JOHN ST, COTTESLOE",residential,Non Strata,2700000,2020-06-26,N,319
"19 JOHN ST, COTTESLOE",residential,Non Strata,3650000,2015-11-06,N,637
"16 JOHN ST, COTTESLOE",residential,Non Strata,1700000,2021-03-31,N,451
"17 WARNHAM RD, COTTESLOE",residential,Non Strata,185000,1997-03-19,N,212
"18 A WARNHAM RD, COTTESLOE",residential,Strata,1300000,2019-07-04,N,870
"2/14 WARNHAM RD, COTTESLOE",residential,Strata,1695000,2023-12-19,N,559
"2/14 WARNHAM RD, COTTESLOE",residential,Strata,1450000,2022-10-09,N,559
"6/20 OVERTON GDNS, COTTESLOE",residential,Strata,775000,2023-07-08,N,1662
"9 NAPIER ST, COTTESLOE",residential,Non Strata,3800000,2018-11-03,N,567
"4 GADSDON ST, COTTESLOE",residential,Non Strata,3105000,2003-09-20,N,1133
"8 GADSDON ST, COTTESLOE",residential,Non Strata,3510000,2020-11-21,N,613
"6 A GADSDON ST, COTTESLOE",residential,Vacant,280000,1995-12-04,N,270
"6 GADSDON ST, COTTESLOE",residential,Non Strata,2300000,2018-02-13,N,270
"12 GADSDON ST, COTTESLOE",residential,Strata,470000,2000-04-22,N,314
"10 B GADSDON ST, COTTESLOE",residential,Strata,1650000,2023-03-01,N,316
"16 GADSDON ST, COTTESLOE",residential,Non Strata,2000000,2013-12-05,N,297
